liked,user_id,video_end_type,minutes_played,video_id,geo_cd,channel_id,creator_id,timestamp,disliked
True,101,1,3,101,JP,11,101,16/10/2019 18:20:12,True
True,102,2,4,102,AP,12,102,17/12/2019 01:18:23,True
True,103,1,5,103,EU,13,103,19/01/2020 07:08:18,True
True,104,1,6,104,AP,14,104,01/11/2019 04:15:18,True
True,105,1,7,105,AP,15,105,10/05/2019 08:57:06,True
True,106,1,8,106,JP,16,106,06/01/2020 10:29:00,True
True,107,0,9,107,JP,17,107,28/05/2019 15:45:47,True
True,108,2,10,108,JP,18,108,05/02/2020 06:57:59,True
True,109,3,11,109,AA,19,109,28/02/2019 01:29:32,True
True,110,3,12,110,EU,20,110,07/05/2019 16:30:15,True
True,111,1,13,111,EU,21,111,11/12/2019 14:22:30,True
True,112,0,14,112,JP,22,112,12/01/2019 08:26:10,True
True,113,3,15,113,AP,23,113,03/02/2019 21:58:52,True
True,114,2,16,114,AP,24,114,13/09/2019 04:28:12,True
True,115,,17,115,JP,25,115,29/12/2019 07:09:38,True
True,116,0,18,116,AA,26,116,24/12/2019 11:32:48,True
True,117,2,19,117,JP,27,117,12/02/2019 03:16:56,True
True,118,3,20,118,EU,28,118,16/10/2019 13:05:22,True
True,119,3,21,119,JP,29,119,06/12/2019 19:32:57,True
True,120,,22,120,AA,30,120,09/09/2019 13:08:05,True
True,121,2,23,121,,31,121,31/08/2019 15:39:39,True
True,122,2,24,122,JP,32,122,11/12/2019 10:20:02,True
True,123,3,25,123,JP,33,123,29/05/2019 13:52:56,True
True,124,,26,124,EU,34,124,01/10/2019 23:18:45,True
True,125,2,27,125,AA,35,125,29/02/2020 00:02:23,True
True,126,3,28,126,AA,36,126,29/01/2019 00:59:13,True
True,127,2,29,127,AU,37,127,14/03/2019 01:24:53,True
True,128,2,30,128,,38,128,05/03/2020 19:32:21,True
True,129,0,31,129,JP,39,129,26/08/2019 12:17:17,True
True,130,1,32,130,AA,40,130,16/02/2019 16:06:18,True
True,131,1,33,131,AP,41,131,01/07/2019 05:19:12,True
True,132,2,34,132,AP,42,132,23/05/2019 18:39:09,True
True,133,1,35,133,AU,43,133,18/09/2019 19:38:09,True
True,134,3,36,134,AP,44,134,23/05/2019 20:16:03,True
True,135,,37,135,JP,45,135,04/05/2019 09:17:15,True
True,136,0,38,136,AP,46,136,20/06/2019 06:32:30,True
True,137,3,39,137,JP,47,137,21/04/2019 08:37:53,True
True,138,3,40,138,,48,138,28/04/2019 22:29:56,True
True,139,0,41,139,AA,49,139,18/02/2020 17:31:05,True
True,140,1,42,140,,50,140,31/10/2019 19:31:42,True
True,141,1,43,141,EU,51,141,26/01/2020 15:32:39,True
True,142,1,44,142,AA,52,142,11/01/2020 10:01:38,True
True,143,1,45,143,AU,53,143,22/01/2020 13:27:20,True
True,144,1,46,144,AU,54,144,25/06/2019 18:17:20,True
True,145,3,47,145,AP,55,145,12/03/2019 18:34:48,True
True,146,3,48,146,AA,56,146,23/08/2019 03:35:29,True
True,147,3,49,147,JP,57,147,04/02/2020 17:46:13,True
True,148,2,50,148,AP,58,148,11/08/2019 23:57:24,True
True,149,3,51,149,AU,59,149,25/09/2019 15:17:45,True
True,150,3,52,150,AU,60,150,02/06/2019 14:38:32,True
True,151,0,53,151,EU,61,151,27/12/2019 04:23:11,True
True,152,0,54,152,AP,62,152,31/08/2019 19:32:59,True
True,153,0,55,153,AU,63,153,12/06/2019 16:55:42,True
True,154,2,56,154,EU,64,154,01/06/2019 01:34:13,True
True,155,1,57,155,AP,65,155,25/04/2019 17:00:58,True
True,156,,58,156,EU,66,156,27/01/2020 02:13:24,True
True,157,0,59,157,AP,67,157,11/09/2019 08:53:41,True
True,158,3,60,158,JP,68,158,30/04/2019 17:50:15,True
True,159,0,61,159,AA,69,159,29/07/2019 20:17:50,True
True,160,,62,160,AA,70,160,19/05/2019 05:03:31,True
True,161,3,63,161,AP,71,161,24/03/2019 10:15:15,True
True,162,3,64,162,AP,72,162,23/01/2019 10:06:22,True
True,163,2,65,163,JP,73,163,22/02/2020 22:55:51,True
True,164,2,66,164,AP,74,164,19/04/2019 15:24:52,True
True,165,3,67,165,EU,75,165,15/07/2019 13:52:27,True
True,166,3,68,166,EU,76,166,02/09/2019 09:30:36,True
True,167,2,69,167,JP,77,167,30/10/2019 18:23:31,True
True,168,3,70,168,AP,78,168,25/05/2019 02:05:10,True
True,169,1,71,169,AA,79,169,08/10/2019 20:07:19,True
True,170,0,72,170,AP,80,170,28/01/2020 10:17:04,True
True,171,3,73,171,AP,81,171,13/01/2019 08:18:15,True
True,172,2,74,172,AU,82,172,16/03/2019 01:00:09,True
True,173,1,75,173,AA,83,173,28/04/2019 17:07:10,True
